YearsFromRegistration,powerPS,kilometer,abtest_test,vehicleType_cabrio,vehicleType_coupe,vehicleType_limousine,vehicleType_others,vehicleType_small car,vehicleType_station wagon,vehicleType_suv,fuelType_diesel,fuelType_electro,fuelType_hybrid,fuelType_lpg,fuelType_other,fuelType_petrol,gearbox_manual,notRepairedDamage_yes,brand_encoded,monthOfRegistration_Q2,monthOfRegistration_Q3,monthOfRegistration_Q4,price
12,241,150000,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14,1,0,0,22800
6,90,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,0,1,0,2600
25,158,150000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,1550
20,64,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,1,0,0,2500
6,106,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,0,0,0,3150
13,120,50000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,10,0,1,0,9450
17,88,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,27,0,0,0,2550
13,140,150000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11800
14,64,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,38,0,0,0,3980
26,193,150000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,1,0,4900
14,95,60000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7300
26,110,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,10,1,0,0,1150
16,150,125000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24,1,0,0,7400
22,193,150000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,38,0,0,1,3900
20,65,125000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,23,0,0,1,1990
24,110,150000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,39,0,0,1,380
26,90,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,1,0,0,500
7,110,150000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,38,0,1,0,8700
20,148,150000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20,0,0,1,3900
19,204,150000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,5500
16,235,150000,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,16000
14,76,20000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,27,0,0,0,4600
29,136,100000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,20,0,0,0,1200
19,150,150000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,7000
15,143,150000,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,15000
22,60,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,31,0,1,0,1590
16,110,150000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,3100
13,184,150000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,13999
26,141,5000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,22,0,0,0,2200
